control_group,test_group
66.24345364,47.74863229
43.88243586,53.15599759
44.71828248,21.95705856
39.27031378,78.60406213
58.65407629,27.09846622
26.98461303,41.37378952
67.44811764,61.54322126
42.38793099,35.3206787
53.19039096,38.13071672
47.50629625,40.36488578
64.62107937,62.27181067
29.39859291,88.38312019
46.77582796,54.62309089
46.15945645,37.23111832
61.33769442,62.08587481
39.00108733,45.0576045
48.27571792,53.71304255
41.22141582,71.62501829
50.42213747,42.78193576
55.82815214,54.13537876
38.99380823,40.8283816
61.4472371,51.65348744
59.01590721,57.84855678
55.02494339,39.16831427
59.00855949,48.91767051
43.16272141,50.45723954
48.77109774,44.43517481
40.64230566,36.1858157
47.3211192,32.68174159
55.30355467,51.69757206
43.08339248,49.9641456
46.03246473,87.47050183
43.128273,17.47848635
41.54794359,55.69089757
43.28753869,59.55666805
49.87335401,74.39450794
38.82689651,61.5278581
52.34415698,41.33679444
66.59802177,54.00014642
57.42044161,62.13528858
48.08164448,49.29737705
41.12371036,65.56517607
42.52841706,25.97864018
66.92454601,79.96776999
50.50807755,76.01517016
43.63004353,48.96483992
51.90915485,63.17011169
71.00255136,54.71955888
51.20158952,41.56297066
56.1720311,55.31565328
53.0017032,69.0054883
46.47750154,48.28361224
38.57481802,48.36495865
46.50657278,52.88293856
47.91105767,60.50244495
55.86623191,73.17568845
58.38983414,44.47981042
59.31102081,61.62594364
52.85587325,57.24174009
58.85141164,26.12081421
42.45602059,47.71025277
62.52868155,52.01506652
55.1292982,53.4064464
47.01907165,58.8900515
54.88518147,23.39515427
49.24428287,54.69383285
61.31629387,43.83486634
65.19816816,32.4084146
71.85575407,61.86444645
36.03503665,65.02919364
35.55886195,44.20124598
44.95534137,66.63684422
51.60037069,48.27725277
58.76168921,54.99733514
53.15634947,37.5189158
29.77798784,77.76730585
46.93795987,14.10825815
58.27974643,52.62821066
52.30094735,64.42679408
57.6201118,23.49800181
47.77671857,51.15796103
47.99241931,52.84172002
51.86561391,66.37054508
54.10051647,72.72319381
51.9829972,47.94161596
51.19008646,33.23222
43.29337714,74.50853136
53.77563786,72.2682845
51.21821271,47.06991978
61.29483908,59.26332741
61.9891788,59.72799351
51.85156417,62.49413162
46.2471505,57.06311968
43.61269593,75.10044362
54.23494354,27.93060743
50.77340068,69.6123593
46.56146324,59.70707955
50.43596857,50.74297097
43.79999156,71.60297248
56.98032034,18.84595214
